Threat Actor,Tool,Type
APT35,Havij,Info stealer
APT35,Schtasks.exe,OS native tool
APT35,Schtasks.exe,Remote command
APT35,FireMalv,Credential stealer
APT35,CWoolger,Keylogger
APT35,Mimikatz,Credential stealer
APT35,Meterpreter,Backdoor
APT35,Meterpreter,Loader
APT35,Tasklist,Non-malicious tool
APT35,Tasklist,OS native tool
APT35,Tasklist,Reconnaissance
APT35,PupyRAT,Remote Access Trojan (RAT)
APT35,Windows Service Configuration Tool,Non-malicious tool
APT35,Windows Service Configuration Tool,OS native tool
APT35,Windows Service Configuration Tool,Reconnaissance
APT35,Plink,Tunneling
APT35,Ps1 To Exe,Non-malicious tool
APT35,RunPE-In-Memory,Non-malicious tool
APT35,SQL Extractor,Non-malicious tool
APT35,Matryoshka Framework,Backdoor
APT35,Matryoshka Framework,Dropper
APT35,Matryoshka Framework,Info stealer
APT35,Matryoshka Framework,Loader
APT35,Leash,Backdoor
APT35,NETWoolger,Keylogger
APT35,Gost,Tunneling
APT35,Impacket,Non-malicious tool
APT35,DiskCryptor,Non-malicious tool
APT35,WMIC,OS native tool
APT35,Memento Ransomware,Ransomware
APT35,wevtutil,Non-malicious tool
APT35,wevtutil,OS native tool
APT35,Invoke-Expression,Non-malicious tool
APT35,Invoke-Expression,OS native tool
APT35,InterPlanetary File System,Non-malicious tool
APT35,Soldier Backdoor,Backdoor
APT35,IIS-Raid,Backdoor
APT35,TDTESS,Backdoor
APT35,TDTESS,Downloader
APT35,TDTESS,Info stealer
APT35,PsExec,Non-malicious tool
APT35,LaZagne,Credential stealer
APT35,Reg,Non-malicious tool
APT35,Reg,OS native tool
APT35,PsList,Non-malicious tool
APT35,FRP,Tunneling
APT35,ProcDump,Non-malicious tool
APT35,WebBrowserPassView,Credential stealer
APT35,WebBrowserPassView,Non-malicious tool
APT35,Bitlocker,
APT35,revsocks,Tunneling
APT35,Telegram Grabber Tool,Credential stealer
APT35,Telegram Grabber Tool,Dropper
APT35,Telegram Grabber Tool,Info stealer
APT35,Telegram,Non-malicious tool
APT35,GHAMBAR,Backdoor
APT35,GHAMBAR,Credential stealer
APT35,GHAMBAR,Info stealer
APT35,Host2IP,Non-malicious tool
APT35,Merlin,Downloader
APT35,Merlin,Exfiltration
APT35,Merlin,Loader
APT35,Merlin,Reconnaissance
APT35,Merlin,Remote command
APT35,SQLDump,Non-malicious tool
APT35,Armadillo,Non-malicious tool
APT35,Rundll32,OS native tool
APT35,wscript,Non-malicious tool
APT35,wscript,OS native tool
APT35,dir,OS native tool
APT35,ipconfig,OS native tool
APT35,ipconfig,Reconnaissance
APT35,netstat,Non-malicious tool
APT35,netstat,OS native tool
APT35,netstat,Reconnaissance
APT35,whoami,Non-malicious tool
APT35,whoami,OS native tool
APT35,whoami,Reconnaissance
Tortoiseshell,SoftPerfect Network Scanner,Reconnaissance
Tortoiseshell,PAExec,Remote command
Tortoiseshell,ProcDump,Non-malicious tool
Tortoiseshell,python.exe,Non-malicious tool
Tortoiseshell,Discord,Non-malicious tool
Tortoiseshell,MeshCentral Agent,Non-malicious tool
Tortoiseshell,IMAPLoader,Downloader
Tortoiseshell,IMAPLoader,Info stealer
Tortoiseshell,IMAPLoader,Reconnaissance
Tortoiseshell,Cmd,Non-malicious tool
Tortoiseshell,Cmd,OS native tool
Tortoiseshell,VBScript,Non-malicious tool
Tortoiseshell,StandardKeyboard,Downloader
Tortoiseshell,StandardKeyboard,Info stealer
Tortoiseshell,StandardKeyboard,Reconnaissance
Tortoiseshell,SugarRush,Backdoor
MuddyWater,msiexec,Non-malicious tool
MuddyWater,msiexec,OS native tool
Agrius,Mimikatz,Credential stealer
Agrius,nbtscan,Non-malicious tool
Agrius,nbtscan,Reconnaissance
Agrius,GMER,Non-malicious tool
Agrius,ProcDump,Non-malicious tool
Agrius,Plink,Tunneling
Agrius,Nimscan,Non-malicious tool
Agrius,PSCP,Non-malicious tool
Agrius,S.exe PortScanner,Reconnaissance
Agrius,S.exe PortScanner,Tunneling
Agrius,BadRentdrv2,Defense evasion
Agrius,7-Zip,Compression
Agrius,7-Zip,Exfiltration
Agrius,7-Zip,Non-malicious tool
Agrius,Net,Info stealer
Agrius,Net,Non-malicious tool
Agrius,Net,OS native tool
Agrius,Net,Reconnaissance
Agrius,ARP,Non-malicious tool
Agrius,ARP,OS native tool
Agrius,ARP,Reconnaissance
Agrius,Reg,Non-malicious tool
Agrius,Reg,OS native tool
Agrius,Cmd,Non-malicious tool
Agrius,Cmd,OS native tool
Agrius,copy,OS native tool
Agrius,WinSCP,Exfiltration
Agrius,DrvIX,Loader
Agrius,Schtasks.exe,OS native tool
Agrius,Schtasks.exe,Remote command
Agrius,wevtutil,Non-malicious tool
Agrius,wevtutil,OS native tool
Agrius,echo,OS native tool
Agrius,Rundll32,OS native tool
APT33,SignalIR,Non-malicious tool
MuddyWater,N‑able RMM,Non-malicious tool
Tortoiseshell,ipconfig,OS native tool
Tortoiseshell,ipconfig,Reconnaissance
Tortoiseshell,whoami,Non-malicious tool
Tortoiseshell,whoami,OS native tool
Tortoiseshell,whoami,Reconnaissance
Tortoiseshell,JavaScript,Backdoor
Tortoiseshell,JavaScript,Credential stealer
Tortoiseshell,JavaScript,Downloader
Tortoiseshell,JavaScript,Dropper
Tortoiseshell,JavaScript,Exfiltration
Tortoiseshell,JavaScript,Info stealer
Tortoiseshell,JavaScript,Loader
Tortoiseshell,JavaScript,Non-malicious tool
Tortoiseshell,JavaScript,Reconnaissance
Tortoiseshell,WMIC,OS native tool
Tortoiseshell,LEMPO,Info stealer
Tortoiseshell,LEMPO,Reconnaissance
Tortoiseshell,Reg,Non-malicious tool
Tortoiseshell,Reg,OS native tool
Moses Staff,PyDCrypt,Downloader
Moses Staff,DCSrv,Ransomware
Moses Staff,StrifeWater,Remote Access Trojan (RAT)
Moses Staff,DiskCryptor,Non-malicious tool
APT34,Mimikatz,Credential stealer
APT34,PowerShell,Non-malicious tool
APT34,PowerShell,OS native tool
APT34,Plink,Tunneling
APT34,PowerExchange Backdoor,Backdoor
APT34,Netsh,Non-malicious tool
APT34,Netsh,OS native tool
APT34,Netsh,Remote command
APT34,netstat,Non-malicious tool
APT34,netstat,OS native tool
APT34,netstat,Reconnaissance
APT34,Reg,Non-malicious tool
APT34,Reg,OS native tool
APT34,ssh,Non-malicious tool
APT34,ssh,OS native tool
APT34,Tokel,Backdoor
APT34,Dirps,Reconnaissance
APT34,Clipog,Info stealer
APT34,Clipog,Keylogger
APT34,Nessus,Vulnerability scanner
APT34,certutil,Downloader
APT34,certutil,Non-malicious tool
APT34,certutil,OS native tool
APT34,Wireshark,Non-malicious tool
MuddyWater,Reg,Non-malicious tool
MuddyWater,Reg,OS native tool
MuddyWater,Attrib,Non-malicious tool
MuddyWater,Attrib,OS native tool
MuddyWater,MSFvenom,Loader
MuddyWater,wget,Downloader
MuddyWater,wget,Non-malicious tool
MuddyWater,wget,OS native tool
MuddyWater,python.exe,Non-malicious tool
MuddyWater,pip,Non-malicious tool
MuddyWater,gunzip,Non-malicious tool
MuddyWater,ifconfig,Non-malicious tool
MuddyWater,ifconfig,OS native tool
MuddyWater,chmod,OS native tool
MuddyWater,FRP,Tunneling
MuddyWater,Chisel,Tunneling
MuddyWater,bore,Non-malicious tool
MuddyWater,Ligolo,Tunneling
APT34,VBScript,Non-malicious tool
APT34,SAPIEN Script Packager,Non-malicious tool
APT34,SAPIEN Script Packager,Obfuscation
APT34,Solar Backdoor,Backdoor
APT34,Mango Backdoor,Backdoor
APT34,MKG,Info stealer
APT34,CDumper,Info stealer
APT34,EDumper,Info stealer
APT34,IDumper,Info stealer
APT34,SmartAssembly,Non-malicious tool
APT33,TOR-The Onion Router,Non-malicious tool
APT33,TOR-The Onion Router,Tunneling
APT33,AzureHound,Non-malicious tool
APT33,AnyDesk,Non-malicious tool
APT33,AnyDesk,Remote command
